sex,fold,threshold,auroc,balanced_accuracy,sensitivity,precision,f1
M,0,0.671508,0.8078817733990147,0.7881773399014778,0.8620689655172413,0.8620689655172413,0.8620689655172413
M,1,0.671946,0.7733990147783252,0.7536945812807883,0.7931034482758621,0.8518518518518519,0.8214285714285714
M,2,0.59582,0.7487684729064039,0.6650246305418719,0.7586206896551724,0.7857142857142857,0.7719298245614035
M,3,0.882769,0.7976190476190477,0.7595238095238095,0.7857142857142857,0.8461538461538461,0.8148148148148148
M,4,0.966798,0.8188775510204082,0.75,0.5714285714285714,0.9411764705882353,0.7111111111111111
F,0,0.33176,0.8705357142857143,0.8125,1.0,0.9032258064516129,0.9491525423728814
F,1,0.989932,1.0,0.7777777777777778,0.5555555555555556,1.0,0.7142857142857143
F,2,0.844681,0.8724279835390947,0.7962962962962963,0.9259259259259259,0.8928571428571429,0.9090909090909091
F,3,0.979226,0.8518518518518519,0.8518518518518519,0.7037037037037037,1.0,0.8260869565217391
F,4,0.857766,0.5555555555555556,0.5648148148148149,0.6296296296296297,0.8095238095238095,0.7083333333333334
