sex,fold,threshold,auroc,balanced_accuracy,sensitivity,precision,f1
M,0,0.635,0.9556650246305419,0.8940886699507389,0.9310344827586207,0.9310344827586207,0.9310344827586207
M,1,0.63,0.874384236453202,0.7155172413793103,0.9310344827586207,0.7941176470588235,0.8571428571428571
M,2,0.635,0.8091133004926108,0.7549261083743842,0.7241379310344828,0.875,0.7924528301886793
M,3,0.725,0.8904761904761904,0.7547619047619047,0.6428571428571429,0.9,0.75
M,4,0.685,0.9668367346938775,0.8392857142857143,0.75,0.9545454545454546,0.84
F,0,0.76,0.9241071428571429,0.7857142857142857,0.8214285714285714,0.92,0.8679245283018868
F,1,0.78,0.9403292181069959,0.7962962962962963,0.5925925925925926,1.0,0.7441860465116279
F,2,0.725,0.794238683127572,0.6296296296296295,0.8148148148148148,0.8148148148148148,0.8148148148148148
F,3,0.74,0.9467592592592592,0.8194444444444444,0.8888888888888888,0.9230769230769231,0.9056603773584906
F,4,0.78,0.8888888888888888,0.6967592592592593,0.5185185185185185,0.9333333333333333,0.6666666666666666
